Player,Int,DFR,FF,SACK,DTD,STY,PA,TYdA,FPTS
"Seahawks, SEA",19,15,21,42,3,1,299,4627,226
"Panthers, CAR",18,16,22,46,4,0,334,5614,202
"Chiefs, KC",18,12,16,43,5,1,327,5788,199
"Texans, HOU",20,13,18,40,4,0,330,5684,194
"Bills, BUF",18,11,16,47,4,0,304,5007,193
"Jets, NYJ",17,11,16,50,3,0,334,5230,188
"Cardinals, ARI",17,11,15,40,4,1,310,5478,186
"Ravens, BAL",15,13,17,45,3,1,318,5274,185
"Bengals, CIN",21,12,17,28,3,0,300,5265,176
"Chargers, SD",15,13,18,32,3,0,328,5959,170
"Rams, STL",14,17,23,48,4,1,338,5750,168
"Packers, GB",19,12,17,49,4,0,339,5724,167
"Eagles, PHI",16,14,19,44,5,0,389,6160,166
"Dolphins, MIA",19,13,17,45,4,0,339,5309,165
"Redskins, WAS",15,17,23,43,4,0,424,6268,163
"Giants, NYG",18,13,18,47,3,0,407,6455,159
"Falcons, ATL",17,15,20,30,5,0,348,5952,156
"Cowboys, DAL",17,19,26,34,3,0,346,6141,156
"Titans, TEN",18,9,13,44,4,0,368,5584,154
"Buccaneers, TB",16,14,19,37,4,0,392,5981,153
"Steelers, PIT",17,13,18,34,4,1,360,5541,152
"Saints, NO",18,11,15,44,3,0,341,5879,152
"Bears, CHI",15,12,16,42,4,0,442,6210,152
"Patriots, NE",18,12,16,41,3,0,345,6254,151
"Lions, DET",17,11,16,42,3,0,348,5372,148
"Colts, IND",16,14,19,42,2,1,344,5996,148
"Jaguars, JAC",14,14,19,40,3,0,358,5485,146
"Broncos, DEN",18,9,13,35,3,0,351,4933,139
"Vikings, MIN",14,10,14,41,3,0,361,5637,139
"49ers, SF",18,9,12,32,3,0,399,5897,136
"Browns, CLE",19,10,14,28,2,0,361,5224,130
"Raiders, OAK",14,9,13,27,3,0,454,6018,91
