Player,Att,Cmp,Yd,TD,INT,CmpPct,YAtt,Att,Yd,Avg,TD,FL,FPTS
"Andrew Luck, IND",630,391,4839,33,15,62.1,7.7,61,316,5.2,3,4,388
"Peyton Manning, DEN",614,407,4901,37,14,66.3,8,25,39,1.6,0,3,379
"Aaron Rodgers, GB",524,342,4265,33,11,65.3,8.1,44,248,5.6,2,3,361
"Russell Wilson, SEA",425,267,3597,25,14,62.8,8.5,105,751,7.2,4,2,343
"Ben Roethlisberger, PIT",596,407,4860,29,13,68.3,8.2,30,62,2.1,0,4,330
"Drew Brees, NO",643,439,5092,28,17,68.3,7.9,28,70,2.5,1,4,329
"Cam Newton, CAR",512,309,3738,23,17,60.4,7.3,119,644,5.4,5,5,323
"Tony Romo, DAL",476,321,4121,32,12,67.4,8.7,25,67,2.7,0,3,323
"Matt Ryan, ATL",674,445,5003,28,19,66,7.4,24,139,5.8,0,4,320
"Joe Flacco, BAL",589,359,4150,30,16,61,7,41,103,2.5,2,2,319
"Matthew Stafford, DET",601,380,4586,26,14,63.2,7.6,40,102,2.5,2,4,311
"Jay Cutler, CHI",574,391,4108,29,19,68.1,7.2,38,201,5.3,2,4,310
"Sam Bradford, PHI",545,337,4309,28,15,61.8,7.9,47,147,3.1,1,4,306
"Eli Manning, NYG",566,364,4448,28,17,64.3,7.9,14,35,2.5,1,4,305
"Ryan Tannehill, MIA",576,378,4107,25,15,65.6,7.1,49,301,6.1,1,3,299
"Colin Kaepernick, SF",467,278,3348,20,13,59.5,7.2,103,680,6.6,2,4,285
"Carson Palmer, ARI",525,320,4016,26,12,61,7.6,24,54,2.2,0,3,282
"Philip Rivers, SD",552,363,4182,27,19,65.8,7.6,34,103,3,0,3,281
"Teddy Bridgewater, MIN",513,328,3856,23,19,63.9,7.5,56,283,5.1,2,2,274
"Alex Smith, KC",496,297,3166,24,11,59.9,6.4,60,341,5.7,1,3,266
"Robert Griffin III, WAS",528,341,4265,19,23,64.6,8.1,71,355,5,1,5,254
"Marcus Mariota, TEN",471,272,3432,20,17,57.7,7.3,62,361,5.8,2,3,249
"Tom Brady, NE",457,284,3225,24,10,62.1,7.1,28,40,1.4,1,2,249
"Josh McCown, CLE",537,301,4076,18,18,56.1,7.6,43,215,5,2,3,248
"Andy Dalton, CIN",508,312,3526,22,20,61.4,6.9,60,198,3.3,3,4,246
"Jameis Winston, TB",494,297,3713,22,19,60.1,7.5,41,204,5,1,4,246
"Blake Bortles, JAC",559,334,3634,19,25,59.7,6.5,63,488,7.7,1,2,246
"Matt Cassel, BUF",549,317,3624,22,18,57.7,6.6,46,116,2.5,1,4,237
"Nick Foles, STL",481,300,3386,22,19,62.4,7,38,147,3.9,1,3,228
"Derek Carr, OAK",577,341,3422,22,16,59.1,5.9,31,108,3.5,0,4,225
"Brian Hoyer, HOU",473,273,3168,18,16,57.7,6.7,29,66,2.3,0,2,193
"Geno Smith, NYJ",341,199,2330,15,13,58.4,6.8,45,207,4.6,2,3,166
"Jimmy Garoppolo, NE",138,83,863,6,3,60.1,6.3,8,24,3,0,1,57
"Ryan Fitzpatrick, NYJ",124,68,820,5,5,54.8,6.6,17,84,4.9,1,1,54
"Mark Sanchez, PHI",11,7,85,1,0,63.6,7.7,4,10,2.5,0,0,7
"Matt Schaub, BAL",6,4,47,0,0,66.7,7.8,0,2,0,0,0,1
"Drew Stanton, ARI",9,5,66,0,0,55.6,7.3,3,10,3.3,0,0,1
"Chad Henne, JAC",10,6,60,0,0,60,6,2,11,5.5,0,0,1
"Christian Ponder, OAK",9,5,46,0,0,55.6,5.1,5,15,3,0,0,1
"Derek Anderson, CAR",5,3,35,0,0,60,7,3,8,2.7,0,0,1
"Austin Davis, STL",10,6,74,0,0,60,7.4,2,6,3,0,0,1
"Kellen Clemens, SD",8,5,60,0,0,62.5,7.5,2,6,3,0,0,1
