Player,Att,Yd,Avg,TD,Recpt,Yd,Avg,TD,FL,FPTS
"Jamaal Charles, KC",219,1144,5.2,10,48,387,8.1,8,3,240
"Le'Veon Bell, PIT",270,1198,4.4,9,66,656,9.9,2,1,234
"Eddie Lacy, GB",290,1358,4.7,9,40,372,9.3,3,2,225
"Marshawn Lynch, SEA",263,1310,5,10,33,339,10.3,3,2,224
"C.J. Anderson, DEN",240,1207,5,10,47,438,9.3,2,1,219
"Matt Forte, CHI",242,1012,4.2,7,92,727,7.9,3,3,213
"Adrian Peterson, MIN",296,1350,4.6,8,37,259,7,1,2,195
"LeSean McCoy, BUF",317,1412,4.5,7,31,207,6.7,1,3,187
"DeMarco Murray, PHI",227,1022,4.5,11,47,354,7.5,1,6,182
"Lamar Miller, MIA",252,1267,5,7,38,287,7.6,1,3,181
"Jeremy Hill, CIN",244,1168,4.8,8,27,224,8.3,1,3,173
"Melvin Gordon, SD",213,971,4.6,7,42,342,8.1,2,1,168
"Justin Forsett, BAL",218,1224,5.6,4,47,285,6.1,1,1,162
"Latavius Murray, OAK",224,1057,4.7,7,29,264,9.1,1,1,162
"Andre Ellington, ARI",213,869,4.1,4,50,459,9.2,2,3,146
"Carlos Hyde, SF",198,886,4.5,9,20,144,7.2,1,2,144
"Joique Bell, DET",191,810,4.2,6,40,405,10.1,1,2,144
"Alfred Morris, WAS",230,1014,4.4,6,17,135,7.9,1,2,138
"Chris Ivory, NYJ",215,1000,4.7,6,16,113,7.1,1,1,137
"Devonta Freeman, ATL",193,894,4.6,4,42,320,7.6,1,2,132
"Mark Ingram, NO",187,877,4.7,7,29,163,5.6,1,2,132
"T.J. Yeldon, JAC",166,782,4.7,6,36,275,7.6,1,1,129
"Frank Gore, IND",242,956,4,5,21,185,8.8,1,3,128
"Rashad Jennings, NYG",191,780,4.1,4,46,375,8.2,1,2,125
"Ryan Mathews, PHI",130,670,5.2,9,17,145,8.5,1,2,122
"Isaiah Crowell, CLE",190,770,4.1,7,21,167,8,1,3,120
"Todd Gurley, STL",146,682,4.7,7,28,222,7.9,1,1,120
"Tre Mason, STL",186,806,4.3,4,21,213,10.1,2,2,119
"Joseph Randle, DAL",183,872,4.8,4,24,189,7.9,1,2,116
"Tevin Coleman, ATL",154,757,4.9,6,20,159,8,1,1,115
"Giovani Bernard, CIN",136,569,4.2,4,47,396,8.4,2,1,114
"Jonathan Stewart, CAR",176,835,4.7,4,26,184,7.1,1,2,113
"Ameer Abdullah, DET",148,627,4.2,6,29,245,8.4,1,2,110
"LeGarrette Blount, NE",140,630,4.5,7,18,118,6.6,1,1,106
"Jonas Gray, NE",153,668,4.4,6,19,128,6.7,1,1,105
"Alfred Blue, HOU",194,770,4,3,16,128,8,1,1,97
"Doug Martin, TB",196,783,4,3,20,112,5.6,1,2,94
"David Cobb, TEN",140,604,4.3,4,22,196,8.9,1,1,92
"Arian Foster, HOU",129,626,4.9,3,20,174,8.7,2,1,92
"Reggie Bush, SF",123,622,5.1,3,36,260,7.2,1,2,91
"Shane Vereen, NYG",70,277,4,2,56,541,9.7,2,2,86
"C.J. Spiller, NO",99,470,4.7,2,49,325,6.6,2,2,84
"Charles Sims, TB",102,356,3.5,3,42,413,9.8,1,2,81
"Darren McFadden, DAL",124,460,3.7,4,26,198,7.6,1,2,75
"Montee Ball, DEN",116,518,4.5,4,21,141,6.7,1,3,74
"Darren Sproles, PHI",62,241,3.9,3,45,455,10.1,1,2,74
"Roy Helu, OAK",88,289,3.3,2,42,384,9.1,2,1,74
"Dan Herron, IND",98,435,4.4,3,36,283,7.9,1,3,74
"Knile Davis, KC",118,420,3.6,5,17,136,8,1,2,72
"Lance Dunbar, DAL",92,436,4.7,3,19,238,12.5,1,2,71
"Damien Williams, MIA",102,438,4.3,2,25,243,9.7,1,1,69
