Player,Recpt,Yd,Avg,TD,FL,FPTS
"Demaryius Thomas, DEN",106,1565,14.8,11,0,214
"Antonio Brown, PIT",122,1620,13.3,10,2,211
"Dez Bryant, DAL",84,1294,15.4,13,0,199
"Odell Beckham, NYG",102,1337,13.1,12,2,196
"Calvin Johnson, DET",88,1398,15.9,10,0,192
"Jordy Nelson, GB",91,1380,15.2,10,0,190
"Julio Jones, ATL",107,1626,15.2,6,2,187
"Mike Evans, TB",70,1123,16,13,0,183
"A.J. Green, CIN",93,1395,15,8,2,176
"Randall Cobb, GB",92,1248,13.6,10,2,175
"Emmanuel Sanders, DEN",98,1309,13.4,8,0,172
"Kelvin Benjamin, CAR",79,1094,13.8,11,1,165
"T.Y. Hilton, IND",88,1431,16.3,5,1,164
"Alshon Jeffery, CHI",84,1162,13.8,8,0,158
"Jordan Matthews, PHI",65,1016,15.6,10,0,154
"DeSean Jackson, WAS",63,1227,19.5,6,0,150
"Sammy Watkins, BUF",68,1104,16.2,7,1,143
"DeAndre Hopkins, HOU",75,1179,15.7,5,1,138
"Nelson Agholor, PHI",61,1024,16.8,7,1,136
"Brandin Cooks, NO",90,1024,11.4,5,0,135
"Mike Wallace, MIN",64,954,14.9,8,1,134
"Golden Tate, DET",85,1150,13.5,4,0,132
"Andre Johnson, IND",94,1215,12.9,4,3,131
"Roddy White, ATL",83,995,12,7,2,130
"Keenan Allen, SD",88,1096,12.5,5,2,127
"Martavis Bryant, PIT",40,735,18.4,10,0,126
"Julian Edelman, NE",101,1061,10.5,4,0,126
"Michael Floyd, ARI",49,913,18.6,7,1,124
"Jeremy Maclin, KC",62,822,13.3,8,0,123
"Steve Smith, BAL",73,971,13.3,6,1,123
"Anquan Boldin, SF",76,997,13.1,5,0,122
"Brandon Marshall, NYJ",63,839,13.3,8,1,122
"Vincent Jackson, TB",70,1086,15.5,3,1,116
"Kevin White, CHI",60,877,14.6,6,1,113
"Charles Johnson, MIN",54,948,17.6,4,0,112
"Torrey Smith, SF",41,774,18.9,7,0,111
"Brandon LaFell, NE",62,875,14.1,6,2,111
"Eric Decker, NYJ",62,849,13.7,5,0,108
"Doug Baldwin, SEA",62,863,13.9,5,1,106
"Allen Robinson, JAC",79,907,11.5,4,0,106
"Malcom Floyd, SD",44,900,20.5,4,0,106
"Kendall Wright, TEN",67,834,12.4,5,1,105
"Amari Cooper, OAK",69,847,12.3,5,1,104
"John Brown, ARI",45,702,15.6,7,0,104
"Jarvis Landry, MIA",95,875,9.2,5,3,103
"Victor Cruz, NYG",65,992,15.3,2,1,102
"Terrance Williams, DAL",34,638,18.8,8,1,101
"Pierre Garcon, WAS",76,896,11.8,3,0,100
"Dwayne Bowe, CLE",60,953,15.9,2,0,99
"Allen Hurns, JAC",48,647,13.5,7,0,99
"Eddie Royal, CHI",57,695,12.2,7,3,99
"Andrew Hawkins, CLE",63,869,13.8,3,0,97
"Marques Colston, NO",61,822,13.5,4,1,97
"Larry Fitzgerald, ARI",69,873,12.7,3,2,93
"Greg Jennings, MIA",47,651,13.9,6,0,93
"Leonard Hankerson, ATL",58,651,11.2,6,0,93
"Cody Latimer, DEN",52,688,13.2,5,0,92
"Percy Harvin, BUF",74,729,9.9,2,3,92
"Breshad Perriman, BAL",43,700,16.3,5,1,91
"Robert Woods, BUF",58,696,12,5,1,90
"Marvin Jones, CIN",40,506,12.7,7,0,88
"Devin Funchess, CAR",50,689,13.8,4,1,85
"DeVante Parker, MIA",53,702,13.2,4,1,84
"Brian Quick, STL",40,617,15.4,5,0,83
"Brian Hartline, CLE",44,725,16.5,3,0,83
"Cordarrelle Patterson, MIN",41,510,12.4,3,1,78
"Rueben Randle, NYG",40,726,18.1,2,0,77
"Rod Streater, OAK",38,573,15.1,5,1,77
"Kenny Britt, STL",45,662,14.7,3,0,77
"Davante Adams, GB",49,589,12,4,0,74
"Jerricho Cotchery, CAR",51,622,12.2,3,0,71
"Nate Washington, HOU",35,654,18.7,2,0,69
"Kenny Stills, MIA",44,634,14.4,2,0,67
"Steve Johnson, SD",41,507,12.4,4,0,67
"Phillip Dorsett, IND",38,508,13.4,4,1,65
"Markus Wheaton, PIT",51,600,11.8,2,0,65
"Michael Crabtree, OAK",64,586,9.2,2,0,62
"Mohamed Sanu, CIN",40,497,12.4,3,0,62
"Corey Brown, CAR",35,499,14.3,3,2,61
"Cole Beasley, DAL",46,551,12,3,2,61
"Bruce Ellington, SF",23,312,13.6,4,0,61
"Tavon Austin, STL",36,303,8.4,2,0,60
"Stedman Bailey, STL",40,538,13.4,2,0,59
"Justin Hunter, TEN",26,483,18.6,3,0,59
"Andre Holmes, OAK",29,556,19.2,2,0,59
"Jermaine Kearse, SEA",29,496,17.1,2,0,55
"Donte Moncrief, IND",32,437,13.7,3,0,55
"Chris Hogan, BUF",41,447,10.9,4,3,54
"Danny Amendola, NE",42,435,10.4,3,0,54
"Marqise Lee, JAC",48,555,11.6,1,0,53
"Brandon Coleman, NO",34,452,13.3,3,1,53
"Riley Cooper, PHI",33,441,13.4,3,1,52
"Nick Toon, NO",41,537,13.1,2,3,52
