RNK,"PLAYER, TEAM POS",    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,  REC,  YDS,   TD,PTS
1,"Le'Veon Bell, Pit RB  SSPD",0/0,0,0,0,247,1062,6,62,502,3,208.5
2,"Adrian Peterson, Min RB  P",0/0,0,0,0,264,1231,9,47,394,2,222.6
3,"Eddie Lacy, GB RB",0/0,0,0,0,293,1297,9,46,323,3,229.6
4,"Jamaal Charles, KC RB",0/0,0,0,0,243,1121,9,55,473,3,225.7
5,"Marshawn Lynch, Sea RB",0/0,0,0,0,281,1296,10,33,258,2,222.6
6,"Antonio Brown, Pit WR",0/0,0,0,0,4,26,0,116,1522,9,208.7
7,"C.J. Anderson, Den RB",0/0,0,0,0,270,1173,9,47,402,1,215.6
8,"Matt Forte, Chi RB",0/0,0,0,0,251,1066,5,65,597,2,205.4
9,"DeMarco Murray, Phi RB  P",0/0,0,0,0,251,1160,10,25,197,1,197.6
10,"Demaryius Thomas, Den WR",0/0,0,0,0,0,0,0,102,1298,11,195
11,"LeSean McCoy, Buf RB  Q",0/0,0,0,0,311,1399,7,29,206,1,203.5
12,"Rob Gronkowski, NE TE",0/0,0,0,0,0,0,0,82,1018,9,155
13,"Dez Bryant, Dal WR  P",0/0,0,0,0,0,0,0,90,1361,10,194
14,"Jeremy Hill, Cin RB",0/0,0,0,0,275,1233,10,22,168,1,199.6
15,"Odell Beckham Jr., NYG WR  P",0/0,0,0,0,8,54,0,102,1363,8,187
16,"Jordy Nelson, GB WR",0/0,0,0,0,0,0,0,84,1263,10,186
17,"Julio Jones, Atl WR",0/0,0,0,0,2,13,0,105,1403,8,187.1
18,"Calvin Johnson, Det WR",0/0,0,0,0,0,0,0,87,1283,10,188
19,"A.J. Green, Cin WR",0/0,0,0,0,5,30,0,90,1266,8,175.1
20,"Alshon Jeffery, Chi WR  Q",0/0,0,0,0,8,51,0,88,1223,8,173
21,"Randall Cobb, GB WR",0/0,0,0,0,16,119,0,86,1132,8,172
22,"T.Y. Hilton, Ind WR  P",0/0,0,0,0,4,26,0,86,1194,8,167.6
23,"Mark Ingram, NO RB",0/0,0,0,0,227,951,11,29,220,1,187.6
24,"Mike Evans, TB WR",0/0,0,0,0,0,0,0,81,1205,7,160
25,"Emmanuel Sanders, Den WR  P",0/0,0,0,0,9,60,0,78,1086,7,154
26,"Alfred Morris, Wsh RB",0/0,0,0,0,274,1182,8,19,147,1,184.5
27,"Lamar Miller, Mia RB",0/0,0,0,0,250,1125,6,40,317,1,183.4
28,"DeAndre Hopkins, Hou WR",0/0,0,0,0,0,0,0,84,1198,5,147.1
29,"Brandin Cooks, NO WR",0/0,0,0,0,12,82,0,79,1072,6,151.8
30,"Jimmy Graham, Sea TE",0/0,0,0,0,0,0,0,65,773,8,124.1
31,"Carlos Hyde, SF RB",0/0,0,0,0,262,1092,9,19,152,0,176.5
32,"Justin Forsett, Bal RB",0/0,0,0,0,210,966,5,51,390,2,175.4
33,"Jordan Matthews, Phi WR",0/0,0,0,0,0,0,0,81,995,7,141
34,"Melvin Gordon, SD RB  P",0/0,0,0,0,251,1107,5,21,164,1,158.3
35,"Jonathan Stewart, Car RB",0/0,0,0,0,252,1154,6,28,198,1,172.4
36,"Julian Edelman, NE WR  P",0/0,0,0,0,9,58,0,90,963,6,138
37,"Sammy Watkins, Buf WR  P",0/0,0,0,0,5,31,0,74,1035,6,140
