RNK,"PLAYER, TEAM POS",    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,  REC,  YDS,   TD,PTS
1,"Aaron Rodgers, GB QB",347/538,4317,35,8,50,256,2,0,0,0,325.1
2,"Andrew Luck, Ind QB",383/621,4484,36,16,57,268,2,0,0,0,321.2
3,"Russell Wilson, Sea QB",278/455,3461,26,9,101,623,4,0,0,0,301.7
4,"Peyton Manning, Den QB",394/607,4621,34,14,24,-6,1,0,0,0,296
5,"Drew Brees, NO QB",404/617,4905,31,13,26,42,1,0,0,0,297.8
6,"Ben Roethlisberger, Pit QB",388/597,4622,29,13,34,101,1,0,0,0,281.8
7,"Matt Ryan, Atl QB",390/598,4610,27,13,28,88,1,0,0,0,275.6
8,"Cam Newton, Car QB",295/494,3521,22,14,102,548,4,0,0,0,269.6
9,"Tony Romo, Dal QB",322/496,4098,33,11,27,71,1,0,0,0,278
10,"Tom Brady, NE QB  SSPD",303/460,3377,24,8,26,32,1,0,0,0,221.4
11,"Ryan Tannehill, Mia QB",370/581,4355,25,14,51,251,2,0,0,0,274.6
12,"Eli Manning, NYG QB",394/635,4837,30,17,17,31,0,0,0,0,271.9
13,"Philip Rivers, SD QB",355/561,4452,28,16,32,72,1,0,0,0,262.7
14,"Matthew Stafford, Det QB",384/616,4443,26,14,37,117,1,0,0,0,261.7
15,"Colin Kaepernick, SF QB",287/463,3529,15,9,97,600,3,0,0,0,252.2
16,"Sam Bradford, Phi QB  P",329/548,3817,26,12,41,117,2,0,0,0,246.7
17,"Carson Palmer, Ari QB  P",358/564,4227,25,16,23,38,1,0,0,0,243.4
18,"Teddy Bridgewater, Min QB",308/505,3680,21,13,55,301,2,0,0,0,242.4
19,"Jay Cutler, Chi QB",348/559,4075,25,18,43,195,1,0,0,0,241.6
20,"Joe Flacco, Bal QB",339/535,3886,25,13,36,77,1,0,0,0,237.5
21,"Jameis Winston, TB QB",328/555,4175,22,19,49,185,2,0,0,0,238.4
22,"Alex Smith, KC QB",328/525,3515,20,9,54,275,2,0,0,0,234.3
23,"Marcus Mariota, Ten QB",287/472,3287,18,14,81,483,3,0,0,0,234.3
24,"Andy Dalton, Cin QB",335/538,3774,22,19,54,172,2,0,0,0,226.4
25,"Robert Griffin, Wsh QB  P",275/432,3244,17,10,71,435,3,0,0,0,225.4
26,"Derek Carr, Oak QB",359/590,4150,18,14,33,110,1,0,0,0,218.3
27,"Ryan Fitzpatrick, NYJ QB",210/337,2403,14,11,38,157,1,0,0,0,145.9
28,"Nick Foles, StL QB",324/537,3732,20,13,35,158,1,0,0,0,217.2
29,"Blake Bortles, Jac QB",307/495,3465,18,14,57,343,1,0,0,0,215.2
30,"Josh McCown, Cle QB",268/461,3007,13,14,41,198,2,0,0,0,162.1
31,"Matt Cassel, Buf QB",180/302,2091,12,10,29,122,1,0,0,0,121.8
32,"Jimmy Garoppolo, NE QB",88/146,971,6,4,12,37,0,0,0,0,55.3
33,"Ryan Mallett, Hou QB",123/205,1490,7,6,11,34,0,0,0,0,76.4
34,"Brian Hoyer, Hou QB",204/344,2503,12,10,23,34,1,0,0,0,133.7
35,"Tyrod Taylor, Buf QB",85/148,946,6,5,23,117,1,0,0,0,66.4
36,"Johnny Manziel, Cle QB",17/30,183,1,1,7,20,0,0,0,0,11.1
37,"Mark Sanchez, Phi QB",42294,119,1,1,3,8,0,0,0,0,6
38,"Geno Smith*, NYJ QB  O",121/206,1452,8,7,21,107,1,0,0,0,88.5
39,"Kirk Cousins, Wsh QB",21/34,248,1,1,4,13,0,0,0,0,12.1
40,"EJ Manuel, Buf QB",16/28,184,1,1,4,11,0,0,0,0,10.1
41,"Brandon Weeden, Dal QB",42262,118,1,0,0,1,0,0,0,0,8.1
42,"Brock Osweiler, Den QB",42038,20,0,0,2,7,0,0,0,0,0
43,"Derek Anderson, Car QB",13/22,156,1,1,3,8,0,0,0,0,8
44,"Jimmy Clausen, Chi QB",20/35,233,1,1,3,9,0,0,0,0,9.1
45,"Mike Glennon, TB QB",42038,22,0,0,0,0,0,0,0,0,0
46,"Zach Mettenberger, Ten QB",42038,19,0,0,0,0,0,0,0,0,0
47,"Drew Stanton, Ari QB",20/34,240,1,1,2,5,0,0,0,0,11.1
48,"Shaun Hill, Min QB",42038,20,0,0,0,0,0,0,0,0,0
49,"Bruce Gradkowski, Pit QB",42326,127,1,1,1,2,0,0,0,0,7
50,"Matt Hasselbeck, Ind QB",42038,23,0,0,0,0,0,0,0,0,0
51,"Austin Davis, StL QB",42293,112,1,0,0,1,0,0,0,0,8
52,"Scott Tolzien, GB QB",42038,20,0,0,0,0,0,0,0,0,0
53,"Chase Daniel, KC QB",42293,107,1,0,1,4,0,0,0,0,8
54,"Colt McCoy, Wsh QB",0/0,0,0,0,0,0,0,0,0,0,0
55,"Ryan Nassib, NYG QB",42038,20,0,0,0,0,0,0,0,0,0
56,"Luke McCown, NO QB",42038,22,0,0,0,1,0,0,0,0,0
57,"T.J. Yates, Atl QB",42038,20,0,0,0,0,0,0,0,0,0
58,"Dan Orlovsky, Det QB",42038,22,0,0,0,0,0,0,0,0,0
59,"Chad Henne, Jac QB",42038,19,0,0,0,0,0,0,0,0,0
60,"Matt Schaub, Bal QB",42038,20,0,0,0,0,0,0,0,0,0
61,"Kellen Clemens, SD QB",42038,21,0,0,0,0,0,0,0,0,0
62,"Matt Moore, Mia QB",42038,21,0,0,0,0,0,0,0,0,0
63,"Tarvaris Jackson, Sea QB  Q",42006,17,0,0,0,0,0,0,0,0,0
64,"Brett Hundley, GB QB",0/0,0,0,0,0,0,0,0,0,0,0
65,"AJ McCarron, Cin QB  P",42006,16,0,0,0,0,0,0,0,0,0
66,"Garrett Grayson, NO QB",0/0,0,0,0,0,0,0,0,0,0,0
67,"Blaine Gabbert, SF QB",42293,117,1,0,3,8,0,0,0,0,8
68,"Christian Ponder, Oak QB",42038,20,0,0,0,1,0,0,0,0,0
69,"Tom Savage, Hou QB",0/0,0,0,0,0,0,0,0,0,0,0
70,"Bryce Petty, NYJ QB",0/1,5,0,0,0,0,0,0,0,0,0
