RNK,"PLAYER, TEAM POS",    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,  REC,  YDS,   TD,PTS
1,"Le'Veon Bell, Pit RB  SSPD",0/0,0,0,0,247,1062,6,62,502,3,208.5
2,"Adrian Peterson, Min RB  P",0/0,0,0,0,264,1231,9,47,394,2,222.6
3,"Eddie Lacy, GB RB",0/0,0,0,0,293,1297,9,46,323,3,229.6
4,"Jamaal Charles, KC RB",0/0,0,0,0,243,1121,9,55,473,3,225.7
5,"Marshawn Lynch, Sea RB",0/0,0,0,0,281,1296,10,33,258,2,222.6
6,"C.J. Anderson, Den RB",0/0,0,0,0,270,1173,9,47,402,1,215.6
7,"Matt Forte, Chi RB",0/0,0,0,0,251,1066,5,65,597,2,205.4
8,"DeMarco Murray, Phi RB  P",0/0,0,0,0,251,1160,10,25,197,1,197.6
9,"LeSean McCoy, Buf RB  Q",0/0,0,0,0,311,1399,7,29,206,1,203.5
10,"Jeremy Hill, Cin RB",0/0,0,0,0,275,1233,10,22,168,1,199.6
11,"Mark Ingram, NO RB",0/0,0,0,0,227,951,11,29,220,1,187.6
12,"Alfred Morris, Wsh RB",0/0,0,0,0,274,1182,8,19,147,1,184.5
13,"Lamar Miller, Mia RB",0/0,0,0,0,250,1125,6,40,317,1,183.4
14,"Carlos Hyde, SF RB",0/0,0,0,0,262,1092,9,19,152,0,176.5
15,"Justin Forsett, Bal RB",0/0,0,0,0,210,966,5,51,390,2,175.4
16,"Melvin Gordon, SD RB  P",0/0,0,0,0,251,1107,5,21,164,1,158.3
17,"Jonathan Stewart, Car RB",0/0,0,0,0,252,1154,6,28,198,1,172.4
18,"Frank Gore, Ind RB",0/0,0,0,0,242,1036,6,34,280,1,171.4
19,"Todd Gurley, StL RB  Q",0/0,0,0,0,180,824,5,19,152,1,131.3
20,"Joique Bell*, Det RB  O",0/0,0,0,0,216,834,8,32,250,1,158.5
21,"Latavius Murray, Oak RB",0/0,0,0,0,232,1011,6,25,197,1,160.4
22,"Joseph Randle, Dal RB",0/0,0,0,0,236,1040,7,15,125,1,158.5
23,"Andre Ellington, Ari RB",0/0,0,0,0,190,745,5,48,438,2,157.4
24,"T.J. Yeldon, Jac RB  P",0/0,0,0,0,221,936,6,28,224,1,153.4
25,"Giovani Bernard, Cin RB",0/0,0,0,0,138,562,5,59,460,1,136.3
26,"Rashad Jennings, NYG RB",0/0,0,0,0,177,711,6,22,174,1,128.4
27,"C.J. Spiller, NO RB  Q",0/0,0,0,0,99,454,2,67,559,3,134.6
28,"LeGarrette Blount, NE RB  SSPD",0/0,0,0,0,194,884,7,8,64,0,134.4
29,"Isaiah Crowell, Cle RB",0/0,0,0,0,210,880,5,11,85,0,122.3
30,"Chris Ivory, NYJ RB",0/0,0,0,0,193,856,4,17,126,1,125.3
31,"Ryan Mathews, Phi RB",0/0,0,0,0,194,888,4,15,122,1,126.6
32,"Shane Vereen, NYG RB",0/0,0,0,0,97,412,3,45,410,2,112.3
33,"Tre Mason, StL RB",0/0,0,0,0,144,617,3,18,139,0,90.2
34,"Doug Martin, TB RB",0/0,0,0,0,203,806,4,20,160,0,118.2
35,"Tevin Coleman, Atl RB  P",0/0,0,0,0,188,782,7,22,179,1,141.4
36,"Alfred Blue, Hou RB",0/0,0,0,0,155,585,3,17,136,0,87.2
37,"Ameer Abdullah, Det RB",0/0,0,0,0,129,577,3,49,402,2,125.3
