RNK,"PLAYER, TEAM POS",    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,  REC,  YDS,   TD,PTS
1,"Rob Gronkowski, NE TE",0/0,0,0,0,0,0,0,82,1018,9,155
2,"Jimmy Graham, Sea TE",0/0,0,0,0,0,0,0,65,773,8,124.1
3,"Greg Olsen, Car TE",0/0,0,0,0,0,0,0,71,866,5,115.3
4,"Travis Kelce, KC TE",0/0,0,0,0,0,0,0,74,799,5,107.3
5,"Martellus Bennett, Chi TE",0/0,0,0,0,0,0,0,68,740,5,103.9
6,"Jason Witten, Dal TE",0/0,0,0,0,0,0,0,58,670,6,103
7,"Jordan Cameron, Mia TE",0/0,0,0,0,0,0,0,52,641,5,93.7
8,"Zach Ertz, Phi TE  Q",0/0,0,0,0,0,0,0,52,647,5,93.5
9,"Julius Thomas, Jac TE  Q",0/0,0,0,0,0,0,0,70,791,5,107.7
10,"Dwayne Allen, Ind TE",0/0,0,0,0,0,0,0,50,543,6,89.5
11,"Delanie Walker, Ten TE  P",0/0,0,0,0,0,0,0,61,690,4,91.6
12,"Antonio Gates, SD TE  SSPD",0/0,0,0,0,0,0,0,42,507,4,73.7
13,"Larry Donnell, NYG TE  P",0/0,0,0,0,0,0,0,50,589,5,86.9
14,"Owen Daniels, Den TE",0/0,0,0,0,0,0,0,46,513,5,80.9
15,"Austin Seferian-Jenkins, TB TE",0/0,0,0,0,0,0,0,48,587,4,81.5
16,"Josh Hill, NO TE",0/0,0,0,0,0,0,0,45,486,5,77.6
17,"Jordan Reed, Wsh TE  P",0/0,0,0,0,0,0,0,56,586,4,81.2
18,"Kyle Rudolph, Min TE",0/0,0,0,0,0,0,0,53,588,4,81.9
19,"Heath Miller, Pit TE",0/0,0,0,0,0,0,0,53,599,4,81.9
20,"Charles Clay, Buf TE",0/0,0,0,0,0,0,0,49,535,4,76.9
21,"Coby Fleener, Ind TE",0/0,0,0,0,0,0,0,39,469,5,76
22,"Eric Ebron, Det TE",0/0,0,0,0,0,0,0,53,590,4,82.5
23,"Tyler Eifert, Cin TE",0/0,0,0,0,0,0,0,52,606,4,83.5
24,"Vernon Davis, SF TE",0/0,0,0,0,0,0,0,45,587,3,75.4
25,"Richard Rodgers, GB TE",0/0,0,0,0,0,0,0,40,457,5,74.7
26,"Jace Amaro, NYJ TE  Q",0/0,0,0,0,0,0,0,44,485,3,65.6
27,"Maxx Williams, Bal TE",0/0,0,0,0,0,0,0,35,410,3,58.7
28,"Jacob Tamme, Atl TE",0/0,0,0,0,0,0,0,43,469,3,63.7
29,"Jared Cook, StL TE",0/0,0,0,0,0,0,0,42,492,3,66.8
30,"Mychal Rivera, Oak TE",0/0,0,0,0,0,0,0,36,410,2,52.2
