RNK,"PLAYER, TEAM POS",    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,  REC,  YDS,   TD,PTS
1,"Antonio Brown, Pit WR",0/0,0,0,0,4,26,0,116,1522,9,208.7
2,"Demaryius Thomas, Den WR",0/0,0,0,0,0,0,0,102,1298,11,195
3,"Dez Bryant, Dal WR  P",0/0,0,0,0,0,0,0,90,1361,10,194
4,"Odell Beckham Jr., NYG WR  P",0/0,0,0,0,8,54,0,102,1363,8,187
5,"Jordy Nelson, GB WR",0/0,0,0,0,0,0,0,84,1263,10,186
6,"Julio Jones, Atl WR",0/0,0,0,0,2,13,0,105,1403,8,187.1
7,"Calvin Johnson, Det WR",0/0,0,0,0,0,0,0,87,1283,10,188
8,"A.J. Green, Cin WR",0/0,0,0,0,5,30,0,90,1266,8,175.1
9,"Alshon Jeffery, Chi WR  Q",0/0,0,0,0,8,51,0,88,1223,8,173
10,"Randall Cobb, GB WR",0/0,0,0,0,16,119,0,86,1132,8,172
11,"T.Y. Hilton, Ind WR  P",0/0,0,0,0,4,26,0,86,1194,8,167.6
12,"Mike Evans, TB WR",0/0,0,0,0,0,0,0,81,1205,7,160
13,"Emmanuel Sanders, Den WR  P",0/0,0,0,0,9,60,0,78,1086,7,154
14,"DeAndre Hopkins, Hou WR",0/0,0,0,0,0,0,0,84,1198,5,147.1
15,"Brandin Cooks, NO WR",0/0,0,0,0,12,82,0,79,1072,6,151.8
16,"Jordan Matthews, Phi WR",0/0,0,0,0,0,0,0,81,995,7,141
17,"Julian Edelman, NE WR  P",0/0,0,0,0,9,58,0,90,963,6,138
18,"Sammy Watkins, Buf WR  P",0/0,0,0,0,5,31,0,74,1035,6,140
19,"Keenan Allen, SD WR",0/0,0,0,0,0,0,0,78,1052,6,139.6
20,"DeSean Jackson, Wsh WR  Q",0/0,0,0,0,4,27,0,69,1062,4,132.3
21,"Vincent Jackson, TB WR",0/0,0,0,0,0,0,0,64,999,5,129
22,"Amari Cooper, Oak WR",0/0,0,0,0,4,25,0,77,1027,5,132
23,"Golden Tate, Det WR",0/0,0,0,0,4,26,0,86,1065,4,130.1
24,"Andre Johnson, Ind WR",0/0,0,0,0,0,0,0,71,890,8,135.1
25,"Brandon Marshall, NYJ WR",0/0,0,0,0,0,0,0,76,955,7,135
26,"Mike Wallace, Min WR",0/0,0,0,0,0,0,0,63,949,5,122
27,"Jeremy Maclin, KC WR",0/0,0,0,0,0,0,0,80,1033,5,133.7
28,"Jarvis Landry, Mia WR",0/0,0,0,0,4,26,0,93,978,5,131.2
29,"Allen Robinson, Jac WR",0/0,0,0,0,0,0,0,79,1039,5,131
30,"Eric Decker, NYJ WR",0/0,0,0,0,0,0,0,71,933,5,123
31,"Martavis Bryant, Pit WR",0/0,0,0,0,4,26,0,51,763,6,114
32,"Nelson Agholor, Phi WR",0/0,0,0,0,0,0,0,62,837,5,114.1
33,"Roddy White, Atl WR",0/0,0,0,0,0,0,0,65,823,5,110.1
34,"Torrey Smith, SF WR",0/0,0,0,0,0,0,0,57,943,4,118
35,"Michael Floyd, Ari WR  Q",0/0,0,0,0,0,0,0,60,858,5,113.1
36,"Charles Johnson, Min WR",0/0,0,0,0,0,0,0,61,893,5,119
37,"Larry Fitzgerald, Ari WR",0/0,0,0,0,0,0,0,66,830,5,113
38,"Brandon LaFell*, NE WR  O",0/0,0,0,0,0,0,0,66,861,6,122.4
39,"Marques Colston, NO WR",0/0,0,0,0,0,0,0,54,797,5,109
40,"John Brown, Ari WR",0/0,0,0,0,4,25,0,55,782,4,104
41,"Breshad Perriman, Bal WR  Q",0/0,0,0,0,0,0,0,57,789,6,114
42,"Kendall Wright, Ten WR",0/0,0,0,0,4,25,0,79,867,4,110
43,"Steve Smith Sr., Bal WR",0/0,0,0,0,0,0,0,58,767,4,98.1
44,"Anquan Boldin, SF WR",0/0,0,0,0,0,0,0,69,841,3,102
45,"Devin Funchess, Car WR  P",0/0,0,0,0,0,0,0,63,793,6,115
46,"Pierre Garcon, Wsh WR",0/0,0,0,0,0,0,0,59,756,4,99
47,"Davante Adams, GB WR",0/0,0,0,0,0,0,0,59,818,6,117
48,"DeVante Parker, Mia WR  Q",0/0,0,0,0,0,0,0,59,824,5,112
49,"Cody Latimer, Den WR",0/0,0,0,0,0,0,0,61,807,6,116
50,"Donte Moncrief, Ind WR  P",0/0,0,0,0,6,39,0,37,510,4,78
51,"Victor Cruz, NYG WR  P",0/0,0,0,0,0,0,0,63,844,5,114
