Player Name , Team ,fpts 
Jamaal Charles,KC,230.6
Marshawn Lynch,SEA,229.4
Eddie Lacy,GB,228
Adrian Peterson,MIN,226.4
Le'Veon Bell,PIT,216.4
Matt Forte,CHI,215.1
C.J. Anderson,DEN,209.6
DeMarco Murray,PHI,196.1
LeSean McCoy,BUF,195
Jeremy Hill,CIN,193
Justin Forsett,BAL,181.5
Lamar Miller,MIA,176.3
Mark Ingram,NO,171
Alfred Morris,WAS,166.3
Melvin Gordon,SD,165.8
Frank Gore,IND,163.7
Latavius Murray,OAK,161.2
Carlos Hyde,SF,161
Arian Foster,HOU,154.6
Joseph Randle,DAL,150
Todd Gurley,STL,149.7
Andre Ellington,ARI,149.5
T.J. Yeldon,JAC,146.6
Jonathan Stewart,CAR,145.9
LeGarrette Blount,NE,138.5
Rashad Jennings,NYG,137.5
Joique Bell,DET,136.5
Christopher Ivory,NYJ,134.7
Tevin Coleman,ATL,128.8
Giovani Bernard,CIN,126.8
Isaiah Crowell,CLE,126.2
Ameer Abdullah,DET,123.6
Devonta Freeman,ATL,122.6
C.J. Spiller,NO,115.3
Doug Martin,TB,114.9
Ryan Mathews,PHI,106.5
Shane Vereen,NYG,100.6
Bishop Sankey,TEN,99.9
Alfred Blue,HOU,91.3
Tre Mason,STL,86.8
Charles Sims,TB,85.6
Danny Woodhead,SD,83.8
Duke Johnson,CLE,81.6
Reggie Bush,SF,81.1
Darren McFadden,DAL,77
Knile Davis,KC,76.7
David Cobb,TEN,75.9
Roy Helu,OAK,74
Darren Sproles,PHI,74
Jonas Gray,NE,73.8
Lorenzo Taliaferro,BAL,73.5
Andre Williams,NYG,70.3
David Johnson,ARI,68.7
Denard Robinson,JAC,68.7
Lance Dunbar,DAL,67.5
Ronnie Hillman,DEN,66.7
Matt Jones,WAS,64.9
Fred Jackson,BUF,63.1
Daniel Herron,IND,62.8
James Starks,GB,59.6
Jerick McKinnon,MIN,58
Damien Williams,MIA,56
Terrance West,CLE,55.7
Bilal Powell,NYJ,53.9
DeAngelo Williams,PIT,53.1
James White,NE,52.2
Robert Turbin,SEA,50.9
Ray Rice,BAL,49.5
Theo Riddick,DET,49.5
Javorius Allen,BAL,48.7
Dexter McCluster,TEN,48.6
Branden Oliver,SD,48.5
Chris Johnson,ARI,46.9
Benny Cunningham,STL,46.1
Mike Tolbert,CAR,45.1
Montee Ball,DEN,40.7
Stevan Ridley,NYJ,40.5
Khiry Robinson,NO,39.1
Cameron Artis-Payne,CAR,38.1
Jacquizz Rodgers,CHI,35.4
Toby Gerhart,JAC,35.2
Josh Robinson,IND,33.9
De'Anthony Thomas,KC,33.3
Brandon Bolden,NE,32.5
Bobby Rainey,TB,32.3
Jay Ajayi,MIA,32.1
Marcel Reece,OAK,30.3
Fozzy Whittaker,CAR,30.1
Darrel Young,WAS,28
Antone Smith,ATL,25.6
Shonn Greene,TEN,25.3
Bruce Miller,SF,25
Zach Line,MIN,24.3
Matt Asiata,MIN,24.2
Austin Johnson,NO,24.1
Chris Polk,HOU,23.7
Jonathan Grimes,HOU,23.7
Kendall Hunter,SF,23.1
Ka'Deem Carey,CHI,22.3
Karlos Williams,BUF,21.9
Jeremy Langford,CHI,21.8
Joe Banyard,MIN,21.1
Trent Richardson,OAK,20.8
Derrick Coleman,SEA,20
Dri Archer,PIT,19.8
John Kuhn,GB,19.6
Zac Stacy,NYJ,19
Stepfan Taylor,ARI,18.8
Ryan Williams,DAL,18.8
Christine Michael,SEA,18.3
Patrick DiMarco,ATL,16.4
Anthony Sherman,KC,16.1
Juwan Thompson,DEN,15.5
Kyle Juszczyk,BAL,15
Jerome Felton,BUF,15
Storm Johnson,JAC,14.5
Vick Ballard,IND,14.4
Jalston Fowler,TEN,14.2
James Develin,NE,14.1
Tyler Clutts,DAL,14
Tommy Bohanon,NYJ,13.4
Robert Hughes,ARI,13
Malcolm Johnson,CLE,12.6
Anthony Dixon,BUF,12.5
James Casey,DEN,12
Travaris Cadet,NE,11.9
Michael Burton,DET,11.8
Erik Lorig,NO,11.8
Jay Prosch,HOU,11.6
Ryan Hewitt,CIN,11.4
Kenny Hilliard,HOU,10.8
Chris Thompson,WAS,10.6
Henry Hynoski,NYG,10.3
Daryl Richardson,NYJ,9.9
Taiwan Jones,OAK,9.3
