Player Name , Team ,fpts 
Rob Gronkowski,NE,165.4
Jimmy Graham,SEA,132.2
Greg Olsen,CAR,120.2
Travis Kelce,KC,113.6
Martellus Bennett,CHI,111.3
Jason Witten,DAL,108.2
Julius Thomas,JAC,101.3
Zach Ertz,PHI,95.2
Delanie Walker,TEN,90.4
Jordan Cameron,MIA,88.6
Dwayne Allen,IND,87.9
Kyle Rudolph,MIN,85.4
Coby Fleener,IND,85.1
Heath Miller,PIT,82.8
Antonio Gates,SD,82
Owen Daniels,DEN,81.9
Jordan Reed,WAS,79.6
Charles Clay,BUF,79.3
Vernon Davis,SF,79
Austin Seferian-Jenkins,TB,77
Tyler Eifert,CIN,76.7
Larry Donnell,NYG,75.3
Jared Cook,STL,75.1
Josh Hill,NO,73.3
Eric Ebron,DET,65.8
Ladarius Green,SD,60.3
Mychal Rivera,OAK,59.8
Richard Rodgers,GB,59.7
Jace Amaro,NYJ,58.3
Jacob Tamme,ATL,55.1
Maxx Williams,BAL,52.6
Benjamin Watson,NO,51.6
Brent Celek,PHI,49.7
Virgil Green,DEN,46
Crockett Gillmore,BAL,44.4
Lance Kendricks,STL,44
Garrett Graham,HOU,43.9
Rob Housler,CLE,43.7
Logan Paulsen,WAS,42.8
Jeff Cumberland,NYJ,42.7
Andrew Quarless,GB,41.6
Gavin Escobar,DAL,40.5
Darren Fells,ARI,40
Scott Chandler,NE,36.6
Clive Walford,OAK,35.6
Dion Sims,MIA,34.7
Marcedes Lewis,JAC,32
Ryan Hewitt,CIN,31.8
Luke Willson,SEA,30.3
Daniel Fells,NYG,29.1
Je'Ron Hamm,WAS,27.9
Matt Spaeth,PIT,27.9
Jermaine Gresham,ARI,27.6
Ed Dickson,CAR,26.9
Troy Niklas,ARI,25.3
C.J. Fiedorowicz,HOU,23.7
Anthony Fasano,TEN,23.5
James Casey,DEN,23.3
Brandon Myers,TB,22.5
Tony Moeaki,ATL,21.7
Levine Toilolo,ATL,20.4
Gary Barnidge,CLE,19.3
Dante Rosario,CHI,18.7
Jim Dray,CLE,18.6
Tyler Kroft,CIN,18.5
Joseph Fauria,DET,17.9
Brandon Pettigrew,DET,16.9
Lee Smith,OAK,15.6
Craig Stevens,TEN,15.5
Tim Wright,TB,15.3
Rhett Ellison,MIN,13.8
Vance McDonald,SF,13.7
Dennis Pitta,BAL,13.5
Chris Gragg,BUF,12.7
MyCole Pruitt,MIN,12.6
Demetrius Harris,KC,12.3
Chase Dixon,WAS,10.7
Cameron Brate,TB,10.6
Nic Jacobs,JAC,10.3
Jack Doyle,IND,9.9
Gerell Robinson,MIA,9.8
Ryan Griffin,HOU,9.8
Blake Bell,SF,9.5
Cooper Helfet,SEA,9.4
D.J. Williams,WAS,9.3
James O'Shaughnessy,KC,9.3
MarQueis Gray,BUF,9.2
David Johnson,SD,8
Ryan Taylor,KC,7.9
John Phillips,SD,7.7
Brandon Bostick,MIN,7.7
Trey Burton,PHI,7.5
Phillip Supernaw,TEN,7.2
Garrett Celek,SF,6.8
Chase Ford,MIN,6.4
Sean McGrath,IND,6.3
Brian Leonhardt,OAK,5.6
Michael Hoomanawanui,NE,5.6
Mickey Shuler,ATL,5.2
Zach Miller,CHI,5.1
J.J. Watt,HOU,5.1
Adrien Robinson,NYG,5.1
Jordan Thompson,DET,4.9
Clay Harbor,JAC,4.9
Kellen Davis,NYJ,4.6
James Hanna,DAL,4.5
Jesse James,PIT,4.3
Orson Charles,NO,4.3
Brandon Williams,ARI,4.1
Luke Stocker,TB,4
Anthony McCoy,SEA,4
Cory Harkey,STL,3.8
Kennard Backman,GB,3.4
Bear Pascoe,CHI,3.2
Richard Gordon,KC,2.7
C.J. Uzomah,CIN,2.7
Kevin Brock,FA,2.6
Dominique Jones,DEN,2.6
Nick Boyle,BAL,2.5
Nick O'Leary,BUF,2.3
Derek Carrier,SF,2
Fred Davis,FA,1.8
Steve Maneri,NYJ,1.6
Anthony Denham,HOU,1.4
Asante Cleveland,NE,0.4
Malcolm Johnson,CLE,0.4
Richie Brockel,CAR,-0.1
