Player Name , Team ,fpts 
Antonio Brown,PIT,213.9
Demaryius Thomas,DEN,207.2
Dez Bryant,DAL,199.5
Odell Beckham,NYG,199.3
Jordy Nelson,GB,193.5
Julio Jones,ATL,190
Calvin Johnson,DET,190
Randall Cobb,GB,177.8
A.J. Green,CIN,174.5
Alshon Jeffery,CHI,170.6
Mike Evans,TB,166.3
T.Y. Hilton,IND,163.9
Emmanuel Sanders,DEN,159.5
DeAndre Hopkins,HOU,148.6
Brandin Cooks,NO,146.2
Jordan Matthews,PHI,141
Julian Edelman,NE,139.2
DeSean Jackson,WAS,138
Andre Johnson,IND,136
Sammy Watkins,BUF,135
Golden Tate,DET,134.8
Keenan Allen,SD,133.7
Jeremy Maclin,KC,131.1
Brandon Marshall,NYJ,130.1
Vincent Jackson,TB,126
Mike Wallace,MIN,123.5
Amari Cooper,OAK,123.4
Martavis Bryant,PIT,122
Jarvis Landry,MIA,120.6
Roddy White,ATL,120.1
Brandon LaFell,NE,119.6
Eric Decker,NYJ,119.2
Allen Robinson,JAC,117.3
Steve Smith,BAL,115.5
Torrey Smith,SF,115
Anquan Boldin,SF,114.7
Charles Johnson,MIN,114.3
Michael Floyd,ARI,114
Marques Colston,NO,113
Larry Fitzgerald,ARI,110.7
Nelson Agholor,PHI,110.5
Victor Cruz,NYG,109.5
John Brown,ARI,107.1
Kendall Wright,TEN,106.4
Devin Funchess,CAR,106
Terrance Williams,DAL,105.1
Pierre Garcon,WAS,104
Breshad Perriman,BAL,103.9
Malcom Floyd,SD,103.6
Doug Baldwin,SEA,101.9
Eddie Royal,CHI,96
Davante Adams,GB,95.4
Brian Quick,STL,94.6
Rueben Randle,NYG,94.5
Kenny Stills,MIA,93.7
Percy Harvin,BUF,92.3
Dwayne Bowe,CLE,92
Devante Parker,MIA,91.5
Kenny Britt,STL,89.9
Cody Latimer,DEN,86.9
Steve Johnson,SD,86
Michael Crabtree,OAK,85.6
Allen Hurns,JAC,81.8
Marvin Jones,CIN,76.9
Markus Wheaton,PIT,76.6
Brandon Coleman,NO,74.9
Nate Washington,HOU,73.1
Andrew Hawkins,CLE,72.6
Jermaine Kearse,SEA,72.1
Kevin White,CHI,69.7
Greg Jennings,MIA,69
Brian Hartline,CLE,67.3
Cole Beasley,DAL,67.2
Robert Woods,BUF,65.1
Tavon Austin,STL,64.5
Donte Moncrief,IND,63.5
Jerricho Cotchery,CAR,61.7
Cecil Shorts,HOU,61.6
Tyler Lockett,SEA,60.1
Leonard Hankerson,ATL,59.6
Danny Amendola,NE,59
Phillip Dorsett,IND,58.9
Marqise Lee,JAC,58.2
Jeremy Kerley,NYJ,56.6
Dorial Green-Beckham,TEN,56.5
Mohamed Sanu,CIN,56.3
Dexter McCluster,TEN,55.6
Jarius Wright,MIN,52.3
Philly Brown,CAR,51.2
Rod Streater,OAK,51.1
Harry Douglas,TEN,50.9
Nick Toon,NO,50.6
Andre Roberts,WAS,50.3
Jaelen Strong,HOU,47.9
Riley Cooper,PHI,47.8
Justin Hunter,TEN,46.6
Devin Smith,NYJ,46.4
Andre Holmes,OAK,45.9
Cordarrelle Patterson,MIN,45.3
Albert Wilson,KC,45.1
Kamar Aiken,BAL,45.1
Chris Conley,KC,44.2
Taylor Gabriel,CLE,43.9
Louis Murphy,TB,42.9
De'Anthony Thomas,KC,42.5
Stedman Bailey,STL,41.6
Marquess Wilson,CHI,40.2
Hakeem Nicks,TEN,36.9
Ted Ginn,CAR,35.8
Justin Hardy,ATL,34.6
Marlon Brown,BAL,34
Ace Sanders,FA,34
Corey Fuller,DET,29.5
Jarrett Boykin,CAR,29.2
Jason Avant,KC,27.6
Devin Hester,ATL,26.5
Chris Matthews,SEA,26.4
Bruce Ellington,SF,24.6
Quinton Patton,SF,24.3
Jaron Brown,ARI,23.3
Josh Huff,PHI,23.1
Chris Hogan,BUF,22.9
Jeremy Ross,DET,22
Jamison Crowder,WAS,20.8
Sammie Coates,PIT,20.5
Ricardo Lockette,SEA,20.1
Paul Richardson,SEA,19.5
Brandon Tate,CIN,19.4
Brenton Bersin,CAR,18.6
Michael Campanaro,BAL,18.5
Kenny Bell,TB,17.9
Rishard Matthews,MIA,17.5
Miles Austin,PHI,17.4
Travis Benjamin,CLE,17
Preston Parker,NYG,16.6
Dontrelle Inman,SD,16
Jerome Simpson,SF,15.7
Rashad Greene,JAC,15.7
James Jones,NYG,13.3
Devin Street,DAL,13.2
Brandon Gibson,NE,13
Jacoby Jones,SD,13
Andre Caldwell,DEN,12.3
Joseph Morgan,NO,12.2
DeAndre Smelter,SF,10.6
Walt Powell,NYJ,10.1
T.J. Graham,NYJ,10
Terrelle Pryor,CLE,9.8
Saalim Hakim,NYJ,9.7
Matt Slater,NE,9.5
Kyle Williams,DEN,9.4
Jeff Maehl,PHI,9.4
Austin Pettis,SD,9
Rashad Ross,WAS,8.9
Marquise Goodwin,BUF,8.6
Marlon Moore,CLE,8.6
Ryan Grant,WAS,8.4
Tandon Doss,JAC,8.3
Ryan Spadola,ARI,8.1
Deonte Thompson,BUF,7.7
Brian Tyms,NE,7.7
Kevin Dorsey,NE,7.7
Seantavius Jones,NO,7.6
Eric Weems,ATL,7.5
Stefon Diggs,MIN,7.4
Chris Givens,STL,7.3
Ty Montgomery,GB,7.2
J.J. Nelson,ARI,7.1
DeVier Posey,NYJ,7.1
Darrius Heyward-Bey,PIT,6.9
Greg Salas,DET,6.8
Brice Butler,OAK,6.7
Lance Moore,DET,6.6
Aaron Dobson,NE,6.5
Junior Hemingway,KC,6.3
Josh Morgan,NO,6.3
Chris Owusu,NYJ,6.2
Darren Waller,BAL,6.2
Isaiah Burse,DEN,6.2
Robert Herron,TB,6.1
Corey Washington,NYG,6.1
Adam Thielen,MIN,6
Josh Boyce,NE,6
Vince Mayle,CLE,6
Keshawn Martin,HOU,5.8
Damaris Johnson,HOU,5.8
Duron Carter,IND,5.5
Vincent Brown,IND,5.4
Kenbrell Thompkins,OAK,5.4
Neal Sterling,JAC,5.1
Keith Mumphery,HOU,5.1
Jeff Janis,GB,5
Kris Durham,OAK,5
Mike Brown,CAR,5
Rodney Smith,FA,5
Matt Hazel,MIA,5
Dwayne Harris,NYG,4.3
Kevin Norwood,SEA,4.3
Josh Bellamy,CHI,4.2
Marc Mariani,CHI,4.1
Seyi Ajirotutu,PHI,4.1
Marcus Easley,BUF,4
Alan Bonner,HOU,4
Kevin Ogletree,FA,3.9
Ryan Broyles,DET,3.8
Jalen Saunders,NO,3.8
Frankie Hammond,KC,3.8
Greg Little,CIN,3.4
Russell Shepard,TB,3.4
Lucky Whitehead,DAL,3.3
Denarius Moore,CIN,3.2
Quincy Enunwa,NYJ,2.6
Tre McBride,TEN,2.6
Arrelious Benn,JAC,2.5
Griff Whalen,IND,2.4
Justin Brown,FA,2.2
Chuck Jacobs,SF,1.9
James Wright,CIN,1.8
Jacoby Ford,TEN,1
