Team,Opp,GP,Sack,Int,Fum Rec,Saf,TD,TD,Pts Allow,Points
San Francisco 49ers DEF,MIN,16,40,17,9,1,3,-,-,123
Chicago Bears DEF View Videos,GB,16,42,13,12,-,2,-,-,92
Cincinnati Bengals DEF,@OAK,16,40,21,14,1,1,1,-,144
Buffalo Bills DEF View Videos,IND,16,47,17,11,1,2,2,-,165
Denver Broncos DEF,BAL,16,47,18,13,-,3,-,-,122
Cleveland Browns DEF,@NYJ,16,35,19,9,-,3,-,-,113
Tampa Bay Buccaneers DEF,TEN,16,37,17,11,1,2,-,-,96
Arizona Cardinals DEF,NO,16,43,18,13,1,4,-,-,141
San Diego Chargers DEF,DET,16,35,11,14,-,1,-,-,89
Kansas City Chiefs DEF View Videos,@HOU,16,45,15,12,1,-,2,-,127
Indianapolis Colts DEF,@BUF,16,47,17,10,-,2,-,-,114
Dallas Cowboys DEF,NYG,16,30,18,13,-,3,-,-,117
Miami Dolphins DEF View Videos,@WAS,16,42,15,11,1,3,-,-,140
Philadelphia Eagles DEF View Videos,@ATL,16,46,15,13,1,4,2,-,146
Atlanta Falcons DEF,PHI,16,23,14,12,1,2,2,-,90
New York Giants DEF,@DAL,16,36,15,8,1,2,-,-,100
Jacksonville Jaguars DEF,CAR,16,41,13,12,1,1,-,-,93
New York Jets DEF View Videos,CLE,16,34,11,11,1,-,1,-,92
Detroit Lions DEF View Videos,@SD,16,47,16,10,1,2,-,-,116
Green Bay Packers DEF,@CHI,16,44,18,11,-,3,1,-,126
Carolina Panthers DEF,@JAC,16,41,13,8,1,3,-,-,107
New England Patriots DEF,PIT,16,48,15,11,1,2,1,-,128
Oakland Raiders DEF,CIN,16,33,16,9,-,-,-,-,68
St. Louis Rams DEF,SEA,16,46,14,16,1,2,1,-,157
Baltimore Ravens DEF View Videos,@DEN,16,48,15,16,-,2,-,-,137
San Francisco 49ers DEF,MIN,16,40,17,9,1,3,-,-,123
Chicago Bears DEF View Videos,GB,16,42,13,12,-,2,-,-,92
Cincinnati Bengals DEF,@OAK,16,40,21,14,1,1,1,-,144
Buffalo Bills DEF View Videos,IND,16,47,17,11,1,2,2,-,165
Denver Broncos DEF,BAL,16,47,18,13,-,3,-,-,122
Cleveland Browns DEF,@NYJ,16,35,19,9,-,3,-,-,113
Tampa Bay Buccaneers DEF,TEN,16,37,17,11,1,2,-,-,96
Arizona Cardinals DEF,NO,16,43,18,13,1,4,-,-,141
San Diego Chargers DEF,DET,16,35,11,14,-,1,-,-,89
Kansas City Chiefs DEF View Videos,@HOU,16,45,15,12,1,-,2,-,127
Indianapolis Colts DEF,@BUF,16,47,17,10,-,2,-,-,114
Dallas Cowboys DEF,NYG,16,30,18,13,-,3,-,-,117
Miami Dolphins DEF View Videos,@WAS,16,42,15,11,1,3,-,-,140
Philadelphia Eagles DEF View Videos,@ATL,16,46,15,13,1,4,2,-,146
Atlanta Falcons DEF,PHI,16,23,14,12,1,2,2,-,90
New York Giants DEF,@DAL,16,36,15,8,1,2,-,-,100
Jacksonville Jaguars DEF,CAR,16,41,13,12,1,1,-,-,93
New York Jets DEF View Videos,CLE,16,34,11,11,1,-,1,-,92
Detroit Lions DEF View Videos,@SD,16,47,16,10,1,2,-,-,116
Green Bay Packers DEF,@CHI,16,44,18,11,-,3,1,-,126
Carolina Panthers DEF,@JAC,16,41,13,8,1,3,-,-,107
New England Patriots DEF,PIT,16,48,15,11,1,2,1,-,128
Oakland Raiders DEF,CIN,16,33,16,9,-,-,-,-,68
St. Louis Rams DEF,SEA,16,46,14,16,1,2,1,-,157
Baltimore Ravens DEF View Videos,@DEN,16,48,15,16,-,2,-,-,137
