Player,Opp,GP,Made,0-19,20-29,30-39,40-49,50+,Points
Stephen Gostkowski K - NE,PIT,16,50,1,7,11,10,3,152
Cody Parkey K - PHI,@ATL,16,47,1,9,13,6,3,149
Adam Vinatieri K - IND,@BUF,16,54,-,11,9,7,2,145
Mason Crosby K - GB,@CHI,16,51,1,9,10,6,3,144
Steven Hauschka K - SEA,@STL,16,46,-,8,9,10,3,142
Dan Bailey K - DAL,NYG,16,48,-,8,8,8,4,140
Matt Bryant K - ATL,PHI,16,43,1,9,7,7,5,140
Justin Tucker K - BAL,@DEN,16,44,-,7,9,9,4,139
Connor Barth K - DEN,BAL,16,52,1,7,9,8,2,137
Blair Walsh K - MIN,@SF,16,41,-,6,10,9,4,136
Nick Novak K - SD,DET,16,40,1,10,9,5,3,130
Matt Prater K - DET,@SD,16,42,-,9,8,9,2,130
Dan Carpenter K - BUF,IND,16,41,-,7,10,7,3,128
Chandler Catanzaro K - ARI,NO,16,33,1,9,10,8,2,127
Caleb Sturgis K - MIA,@WAS,16,39,-,10,8,7,2,124
Randy Bullock K - HOU,KC,16,39,-,7,9,7,3,123
Josh Brown K - NYG,@DAL,16,44,1,8,7,5,3,122
Graham Gano K - CAR,@JAC,16,37,-,7,9,10,1,120
Phil Dawson K - SF,MIN,16,34,-,7,8,6,4,117
Nick Folk K - NYJ View News,CLE,16,32,-,10,8,8,1,115
Mike Nugent K - CIN,@OAK,16,37,-,9,7,10,-,115
Cairo Santos K - KC,@HOU,16,38,-,9,7,8,1,115
Greg Zuerlein K - STL,SEA,16,35,-,7,6,6,4,112
Kai Forbath K - WAS,MIA,16,35,-,8,7,10,-,110
Patrick Murray K - TB,TEN,16,32,-,7,8,6,3,110
Stephen Gostkowski K - NE,PIT,16,50,1,7,11,10,3,152
Cody Parkey K - PHI,@ATL,16,47,1,9,13,6,3,149
Adam Vinatieri K - IND,@BUF,16,54,-,11,9,7,2,145
Mason Crosby K - GB,@CHI,16,51,1,9,10,6,3,144
Steven Hauschka K - SEA,@STL,16,46,-,8,9,10,3,142
Dan Bailey K - DAL,NYG,16,48,-,8,8,8,4,140
Matt Bryant K - ATL,PHI,16,43,1,9,7,7,5,140
Justin Tucker K - BAL,@DEN,16,44,-,7,9,9,4,139
Connor Barth K - DEN,BAL,16,52,1,7,9,8,2,137
Blair Walsh K - MIN,@SF,16,41,-,6,10,9,4,136
Nick Novak K - SD,DET,16,40,1,10,9,5,3,130
Matt Prater K - DET,@SD,16,42,-,9,8,9,2,130
Dan Carpenter K - BUF,IND,16,41,-,7,10,7,3,128
Chandler Catanzaro K - ARI,NO,16,33,1,9,10,8,2,127
Caleb Sturgis K - MIA,@WAS,16,39,-,10,8,7,2,124
Randy Bullock K - HOU,KC,16,39,-,7,9,7,3,123
Josh Brown K - NYG,@DAL,16,44,1,8,7,5,3,122
Graham Gano K - CAR,@JAC,16,37,-,7,9,10,1,120
Phil Dawson K - SF,MIN,16,34,-,7,8,6,4,117
Nick Folk K - NYJ View News,CLE,16,32,-,10,8,8,1,115
Mike Nugent K - CIN,@OAK,16,37,-,9,7,10,-,115
Cairo Santos K - KC,@HOU,16,38,-,9,7,8,1,115
Greg Zuerlein K - STL,SEA,16,35,-,7,6,6,4,112
Kai Forbath K - WAS,MIA,16,35,-,8,7,10,-,110
Patrick Murray K - TB,TEN,16,32,-,7,8,6,3,110
