Player,Opp,GP,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Aaron RodgersQB - GB,@CHI,16,4601,38,8,238,3,-,-,-,1,-,363.84
Andrew LuckQB - IND,@BUF,16,4796,36,14,252,3,-,-,-,-,-,351.04
Russell WilsonQB - SEAView News,@STL,16,3787,25,9,697,5,-,-,-,1,-,335.18
Drew BreesQB - NO,@ARI,16,4680,34,15,40,1,-,-,-,-,-,303.2
Cam NewtonQB - CAR,@JAC,16,3640,22,12,574,5,-,-,-,2,-,301
Peyton ManningQB - DEN,BAL,16,4783,35,18,-12,-,-,-,-,1,-,296.12
Tony RomoQB - DALView Videos,NYG,16,4275,31,11,54,1,-,-,-,1,-,286.4
Ryan TannehillQB - MIAView Videos,@WAS,16,3895,28,13,279,2,-,-,-,1,-,283.7
Ben RoethlisbergerQB - PIT,@NE,16,4582,29,13,33,1,-,-,-,-,-,282.58
Tom BradyQB - NEView NewsView Videos,PIT,12,4153,29,9,35,2,-,-,-,1,-,281.62
Matt RyanQB - ATLView NewsView Videos,PHI,16,4573,28,14,103,-,-,-,-,2,-,281.22
Philip RiversQB - SD,DET,16,4366,31,13,23,-,-,-,-,1,-,276.94
Colin KaepernickQB - SF,MIN,16,3293,22,15,571,4,-,-,-,1,-,272.82
Teddy BridgewaterQB - MINView Videos,@SF,16,3781,26,13,291,2,-,-,-,1,-,272.34
Eli ManningQB - NYGView Videos,@DAL,16,4327,30,13,22,-,-,-,-,1,-,271.28
Matthew StaffordQB - DET,@SD,16,4258,26,14,84,1,-,-,-,-,-,260.72
Sam BradfordQB - PHIView NewsView Videos,@ATL,15,3725,28,14,49,3,-,-,-,-,-,255.9
Marcus MariotaQB - TEN,@TB,16,3275,25,18,390,3,-,-,-,1,-,254
Carson PalmerQB - ARI,NO,15,4183,27,16,45,1,-,-,-,-,-,253.82
Joe FlaccoQB - BALView Videos,@DEN,16,4050,24,14,70,1,-,-,-,2,-,247
Jay CutlerQB - CHI,GB,16,3668,25,15,131,1,-,-,-,1,-,237.82
Robert Griffin IIIQB - WASView Videos,MIA,14,3104,20,10,333,3,-,-,-,-,-,235.46
Jameis WinstonQB - TB,TEN,16,3250,23,10,101,3,-,-,-,-,-,230.1
Alex SmithQB - KCView NewsView Videos,@HOU,16,3228,21,6,201,1,-,-,-,-,-,227.22
Derek CarrQB - OAKView Videos,CIN,16,3864,22,14,71,-,-,-,-,-,-,221.66
Andy DaltonQB - CIN,@OAK,16,3567,20,15,143,1,-,-,-,-,-,212.98
Nick FolesQB - STL,SEA,16,3792,20,12,33,-,-,-,-,-,-,210.98
Blake BortlesQB - JACView Videos,CAR,16,3149,17,15,339,2,-,-,-,-,-,209.86
Ryan MallettQB - HOUView Videos,KC,3,2687,19,3,51,1,-,-,-,-,-,188.58
Ryan FitzpatrickQB - NYJView NewsView Videos,CLE,4,2854,20,11,102,1,-,-,-,-,-,188.36
Josh McCownQB - CLEView Videos,@NYJ,16,3400,15,16,181,-,-,-,-,-,-,182.1
Jimmy GaroppoloQB - NEView Videos,PIT,4,1062,10,6,52,1,-,-,-,-,-,81.68
Matt CasselQB - BUF,IND,16,1280,9,6,23,-,-,-,-,1,-,79.5
Brian HoyerQB - HOU,KC,15,660,5,2,41,1,-,-,-,1,-,54.5
Mark SanchezQB - PHIView Videos,@ATL,3,679,6,4,31,1,-,-,-,-,-,52.26
Kirk CousinsQB - WAS,MIA,3,527,4,4,9,-,-,-,-,-,-,29.98
Johnny ManzielQB - CLE,@NYJ,7,255,3,2,56,1,-,-,-,-,-,29.8
Tyrod TaylorQB - BUF,IND,2,275,1,1,37,2,-,-,-,-,-,28.7
