Player,Opp,GP,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Le'Veon BellRB - PIT,@NE,13,-,-,-,1165,10,600,3,-,-,1,252.5
Adrian PetersonRB - MIN,@SF,16,-,-,-,1360,13,216,2,-,1,2,245.6
Jamaal CharlesRB - KCView Videos,@HOU,16,-,-,-,1220,10,405,4,-,1,2,244.5
Eddie LacyRB - GB,@CHI,16,-,-,-,1342,10,400,2,-,-,1,244.2
Marshawn LynchRB - SEA,@STL,16,-,-,-,1204,11,245,1,-,-,1,214.9
Matt ForteRB - CHI,GB,16,-,-,-,1000,7,522,3,-,-,1,210.2
C.J. AndersonRB - DEN,BAL,16,-,-,-,1079,9,316,2,-,1,-,207.5
Jeremy HillRB - CIN,@OAK,16,-,-,-,1205,9,231,1,-,1,2,201.6
LeSean McCoyRB - BUFView Videos,IND,16,-,-,-,1183,8,231,2,-,1,2,199.4
DeMarco MurrayRB - PHIView NewsView Videos,@ATL,16,-,-,-,1157,9,257,1,-,-,2,197.4
Mark IngramRB - NOView Videos,@ARI,16,-,-,-,1201,9,166,1,-,-,1,194.7
Frank GoreRB - IND,@BUF,15,-,-,-,1057,9,219,2,-,-,-,193.6
Justin ForsettRB - BAL,@DEN,16,-,-,-,1098,7,282,2,-,1,1,192
Lamar MillerRB - MIAView Videos,@WAS,16,-,-,-,1157,7,238,1,-,-,2,183.5
Melvin GordonRB - SD,DET,16,-,-,-,1217,7,153,1,-,-,1,183
Alfred MorrisRB - WAS,MIA,16,-,-,-,1209,8,135,-,-,1,1,182.4
Carlos HydeRB - SF,MIN,16,-,-,-,1096,7,172,1,-,1,2,172.8
Latavius MurrayRB - OAK,CIN,16,-,-,-,1040,8,153,1,-,-,1,171.3
Jonathan StewartRB - CAR,@JAC,14,-,-,-,1120,5,241,1,-,1,2,170.1
T.J. YeldonRB - JACView News,CAR,16,-,-,-,965,8,205,1,-,1,2,169
Andre EllingtonRB - ARI,NO,16,-,-,-,861,6,359,1,-,-,1,162
Todd GurleyRB - STL,SEA,12,-,-,-,845,7,182,1,-,1,1,150.7
Joseph RandleRB - DAL,NYG,16,-,-,-,852,7,131,1,-,-,-,146.3
Ameer AbdullahRB - DET,@SD,16,-,-,-,737,5,355,1,-,-,1,143.2
Joique BellRB - DET,@SD,16,-,-,-,807,5,278,1,-,-,2,140.5
Le'Veon BellRB - PIT,@NE,13,-,-,-,1165,10,600,3,-,-,1,252.5
Adrian PetersonRB - MIN,@SF,16,-,-,-,1360,13,216,2,-,1,2,245.6
Jamaal CharlesRB - KCView Videos,@HOU,16,-,-,-,1220,10,405,4,-,1,2,244.5
Eddie LacyRB - GB,@CHI,16,-,-,-,1342,10,400,2,-,-,1,244.2
Marshawn LynchRB - SEA,@STL,16,-,-,-,1204,11,245,1,-,-,1,214.9
Matt ForteRB - CHI,GB,16,-,-,-,1000,7,522,3,-,-,1,210.2
C.J. AndersonRB - DEN,BAL,16,-,-,-,1079,9,316,2,-,1,-,207.5
Jeremy HillRB - CIN,@OAK,16,-,-,-,1205,9,231,1,-,1,2,201.6
LeSean McCoyRB - BUFView Videos,IND,16,-,-,-,1183,8,231,2,-,1,2,199.4
DeMarco MurrayRB - PHIView NewsView Videos,@ATL,16,-,-,-,1157,9,257,1,-,-,2,197.4
Mark IngramRB - NOView Videos,@ARI,16,-,-,-,1201,9,166,1,-,-,1,194.7
Frank GoreRB - IND,@BUF,15,-,-,-,1057,9,219,2,-,-,-,193.6
Justin ForsettRB - BAL,@DEN,16,-,-,-,1098,7,282,2,-,1,1,192
Lamar MillerRB - MIAView Videos,@WAS,16,-,-,-,1157,7,238,1,-,-,2,183.5
Melvin GordonRB - SD,DET,16,-,-,-,1217,7,153,1,-,-,1,183
Alfred MorrisRB - WAS,MIA,16,-,-,-,1209,8,135,-,-,1,1,182.4
Carlos HydeRB - SF,MIN,16,-,-,-,1096,7,172,1,-,1,2,172.8
Latavius MurrayRB - OAK,CIN,16,-,-,-,1040,8,153,1,-,-,1,171.3
Jonathan StewartRB - CAR,@JAC,14,-,-,-,1120,5,241,1,-,1,2,170.1
T.J. YeldonRB - JACView News,CAR,16,-,-,-,965,8,205,1,-,1,2,169
Andre EllingtonRB - ARI,NO,16,-,-,-,861,6,359,1,-,-,1,162
Todd GurleyRB - STL,SEA,12,-,-,-,845,7,182,1,-,1,1,150.7
Joseph RandleRB - DAL,NYG,16,-,-,-,852,7,131,1,-,-,-,146.3
Ameer AbdullahRB - DET,@SD,16,-,-,-,737,5,355,1,-,-,1,143.2
Joique BellRB - DET,@SD,16,-,-,-,807,5,278,1,-,-,2,140.5
