Player,Opp,GP,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Rob Gronkowski TE - NE,PIT,16,-,-,-,-,-,1133,10,-,-,-,173.3
Jimmy Graham TE - SEA View Videos,@STL,16,-,-,-,-,-,993,7,-,-,-,141.3
Greg Olsen TE - CAR,@JAC,16,-,-,-,-,-,950,7,-,-,-,137
Travis Kelce TE - KC View Videos,@HOU,16,-,-,-,-,-,916,7,-,1,-,135.6
Martellus Bennett TE - CHI,GB,16,-,-,-,-,-,790,6,-,1,-,117
Julius Thomas TE - JAC,CAR,16,-,-,-,-,-,720,7,-,-,-,114
Zach Ertz TE - PHI,@ATL,16,-,-,-,-,-,680,7,-,-,-,110
Jason Witten TE - DAL,NYG,16,-,-,-,-,-,660,6,-,-,-,102
Jordan Cameron TE - MIA,@WAS,14,-,-,-,-,-,673,5,-,1,-,99.3
Vernon Davis TE - SF,MIN,16,-,-,-,-,-,664,5,-,-,-,96.4
Delanie Walker TE - TEN,@TB,15,-,-,-,-,-,647,5,-,-,-,94.7
Heath Miller TE - PIT,@NE,16,-,-,-,-,-,619,5,-,-,-,91.9
Kyle Rudolph TE - MIN,@SF,16,-,-,-,-,-,539,6,-,1,-,91.9
Antonio Gates TE - SD,DET,16,-,-,-,-,-,528,6,-,-,-,88.8
Austin Seferian-Jenkins TE - TB,TEN,16,-,-,-,-,-,463,6,-,-,-,82.3
Maxx Williams TE - BAL,@DEN,16,-,-,-,-,-,481,5,-,1,-,80.1
Jared Cook TE - STL,SEA,16,-,-,-,-,-,612,3,-,-,-,79.2
Owen Daniels TE - DEN,BAL,15,-,-,-,-,-,478,5,-,-,-,77.8
Dennis Pitta TE - BAL,@DEN,15,-,-,-,-,-,471,5,-,-,-,77.1
Larry Donnell TE - NYG,@DAL,16,-,-,-,-,-,506,4,-,1,-,76.6
Charles Clay TE - BUF,IND,16,-,-,-,-,-,465,5,-,-,-,76.5
Dwayne Allen TE - IND,@BUF,15,-,-,-,-,-,443,5,-,1,-,76.3
Josh Hill TE - NO,@ARI,16,-,-,-,-,-,511,4,-,-,-,75.1
Coby Fleener TE - IND View News,@BUF,16,-,-,-,-,-,447,5,-,-,-,74.7
Jordan Reed TE - WAS,MIA,15,-,-,-,-,-,559,3,-,-,-,73.9
Rob Gronkowski TE - NE,PIT,16,-,-,-,-,-,1133,10,-,-,-,173.3
Jimmy Graham TE - SEA View Videos,@STL,16,-,-,-,-,-,993,7,-,-,-,141.3
Greg Olsen TE - CAR,@JAC,16,-,-,-,-,-,950,7,-,-,-,137
Travis Kelce TE - KC View Videos,@HOU,16,-,-,-,-,-,916,7,-,1,-,135.6
Martellus Bennett TE - CHI,GB,16,-,-,-,-,-,790,6,-,1,-,117
Julius Thomas TE - JAC,CAR,16,-,-,-,-,-,720,7,-,-,-,114
Zach Ertz TE - PHI,@ATL,16,-,-,-,-,-,680,7,-,-,-,110
Jason Witten TE - DAL,NYG,16,-,-,-,-,-,660,6,-,-,-,102
Jordan Cameron TE - MIA,@WAS,14,-,-,-,-,-,673,5,-,1,-,99.3
Vernon Davis TE - SF,MIN,16,-,-,-,-,-,664,5,-,-,-,96.4
Delanie Walker TE - TEN,@TB,15,-,-,-,-,-,647,5,-,-,-,94.7
Heath Miller TE - PIT,@NE,16,-,-,-,-,-,619,5,-,-,-,91.9
Kyle Rudolph TE - MIN,@SF,16,-,-,-,-,-,539,6,-,1,-,91.9
Antonio Gates TE - SD,DET,16,-,-,-,-,-,528,6,-,-,-,88.8
Austin Seferian-Jenkins TE - TB,TEN,16,-,-,-,-,-,463,6,-,-,-,82.3
Maxx Williams TE - BAL,@DEN,16,-,-,-,-,-,481,5,-,1,-,80.1
Jared Cook TE - STL,SEA,16,-,-,-,-,-,612,3,-,-,-,79.2
Owen Daniels TE - DEN,BAL,15,-,-,-,-,-,478,5,-,-,-,77.8
Dennis Pitta TE - BAL,@DEN,15,-,-,-,-,-,471,5,-,-,-,77.1
Larry Donnell TE - NYG,@DAL,16,-,-,-,-,-,506,4,-,1,-,76.6
Charles Clay TE - BUF,IND,16,-,-,-,-,-,465,5,-,-,-,76.5
Dwayne Allen TE - IND,@BUF,15,-,-,-,-,-,443,5,-,1,-,76.3
Josh Hill TE - NO,@ARI,16,-,-,-,-,-,511,4,-,-,-,75.1
Coby Fleener TE - IND View News,@BUF,16,-,-,-,-,-,447,5,-,-,-,74.7
Jordan Reed TE - WAS,MIA,15,-,-,-,-,-,559,3,-,-,-,73.9
Daniel Fells TE - NYG,@DAL,14,-,-,-,-,-,161,2,-,-,-,28.1
Ryan Griffin TE - HOU,KC,14,-,-,-,-,-,166,1,-,-,-,22.6
Dion Sims TE - MIA,@WAS,9,-,-,-,-,-,166,1,-,-,-,22.6
MyCole Pruitt TE - MIN,@SF,12,-,-,-,-,-,220,-,-,-,-,22
Tyler Kroft TE - CIN,@OAK,8,-,-,-,-,-,149,1,-,-,-,20.9
Brandon Myers TE - TB,TEN,11,-,-,-,-,-,149,1,-,-,-,20.9
Scott Chandler TE - NE,PIT,10,-,-,-,-,-,148,1,-,-,-,20.8
Jesse James TE - PIT,@NE,10,-,-,-,-,-,190,-,-,-,-,19
Ed Dickson TE - CAR,@JAC,8,-,-,-,-,-,124,1,-,-,-,18.4
Chase Ford TE - MIN,@SF,9,-,-,-,-,-,173,-,-,-,-,17.3
Benjamin Watson TE - NO,@ARI,12,-,-,-,-,-,163,-,-,-,-,16.3
James O'Shaughnessy TE - KC View Videos,@HOU,8,-,-,-,-,-,150,-,-,-,-,15
Nick Boyle TE - BAL,@DEN,8,-,-,-,-,-,137,-,-,-,-,13.7
Clay Harbor TE - JAC,CAR,7,-,-,-,-,-,118,-,-,-,-,11.8
Rhett Ellison TE - MIN,@SF,7,-,-,-,-,-,117,-,-,-,-,11.7
Malcolm Johnson TE - CLE,@NYJ,9,-,-,-,-,-,116,-,-,-,-,11.6
Jeff Heuerman TE - DEN,BAL,7,-,-,-,-,-,98,-,-,-,-,9.8
Rory Anderson TE - SF,MIN,5,-,-,-,-,-,94,-,-,-,-,9.4
Ben Koyack TE - JAC,CAR,6,-,-,-,-,-,92,-,-,-,-,9.2
Blake Bell TE - SF,MIN,5,-,-,-,-,-,73,-,-,-,-,7.3
Geoff Swaim TE - DAL,NYG,4,-,-,-,-,-,71,-,-,-,-,7.1
Nick O'Leary TE - BUF,IND,3,-,-,-,-,-,68,-,-,-,-,6.8
Gerald Christian TE - ARI,NO,2,-,-,-,-,-,50,-,-,-,-,5
Randall Telfer TE - CLE,@NYJ,2,-,-,-,-,-,40,-,-,-,-,4
Kennard Backman TE - GB,@CHI,3,-,-,-,-,-,36,-,-,-,-,3.6
C.J. Uzomah TE - CIN,@OAK,3,-,-,-,-,-,36,-,-,-,-,3.6
A.J. Derby TE - NE IR,PIT,1,-,-,-,-,-,23,-,-,-,-,2.3
David Ausberry TE - OAK IR,CIN,-,-,-,-,-,-,-,-,-,-,-,0
Billy Bajema TE,Bye,-,-,-,-,-,-,-,-,-,-,-,0
Jake Ballard TE,Bye,-,-,-,-,-,-,-,-,-,-,-,0
Gary Barnidge TE - CLE,@NYJ,-,-,-,-,-,-,-,-,-,-,-,0
E.J. Bibbs TE - CLE,@NYJ,-,-,-,-,-,-,-,-,-,-,-,0
Brandon Bostick TE - MIN,@SF,-,-,-,-,-,-,-,-,-,-,-,0
Trey Burton TE - PHI,@ATL,-,-,-,-,-,-,-,-,-,-,-,0
Nate Byham TE,Bye,-,-,-,-,-,-,-,-,-,-,-,0
John Carlson TE,Bye,-,-,-,-,-,-,-,-,-,-,-,0
Derek Carrier TE - SF,MIN,-,-,-,-,-,-,-,-,-,-,-,0
James Casey TE - DEN,BAL,-,-,-,-,-,-,-,-,-,-,-,0
Orson Charles TE - NO,@ARI,-,-,-,-,-,-,-,-,-,-,-,0
Dallas Clark TE,Bye,-,-,-,-,-,-,-,-,-,-,-,0
Chase Coffman TE - TEN,@TB,-,-,-,-,-,-,-,-,-,-,-,0
Tom Crabtree TE,Bye,-,-,-,-,-,-,-,-,-,-,-,0
Justice Cunningham TE - STL,SEA,-,-,-,-,-,-,-,-,-,-,-,0
Fred Davis TE,Bye,-,-,-,-,-,-,-,-,-,-,-,0
Kellen Davis TE - NYJ,CLE,-,-,-,-,-,-,-,-,-,-,-,0
Dorin Dickerson TE - TEN IR,@TB,-,-,-,-,-,-,-,-,-,-,-,0
