Player,Opp,GP,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Antonio BrownWR - PIT,@NE,16,-,-,-,22,1,1580,10,-,-,-,226.2
Demaryius ThomasWR - DENView Videos,BAL,16,-,-,-,-,-,1484,12,-,1,-,222.4
Julio JonesWR - ATLView Videos,PHI,16,-,-,-,12,-,1545,11,-,-,-,221.7
Calvin JohnsonWR - DETView Videos,@SD,15,-,-,-,-,-,1460,12,-,-,-,218
Dez BryantWR - DAL,NYG,16,-,-,-,-,-,1436,12,-,-,-,215.6
Odell BeckhamWR - NYGView Videos,@DAL,16,-,-,-,63,-,1385,11,-,-,-,210.8
Jordy NelsonWR - GB,@CHI,16,-,-,-,-,-,1490,10,-,-,-,209
A.J. GreenWR - CIN,@OAK,16,-,-,-,17,-,1402,10,-,1,-,203.9
Alshon JefferyWR - CHIView News,GB,16,-,-,-,33,-,1377,10,-,-,-,201
Randall CobbWR - GB,@CHI,16,-,-,-,96,1,1277,9,-,-,-,197.3
Mike EvansWR - TB,TEN,16,-,-,-,-,-,1405,9,-,1,-,196.5
Emmanuel SandersWR - DENView Videos,BAL,16,-,-,-,37,-,1420,7,-,-,-,187.7
T.Y. HiltonWR - INDView Videos,@BUF,16,-,-,-,39,-,1351,8,-,-,-,187
Brandin CooksWR - NO,@ARI,16,-,-,-,149,-,1198,8,-,-,-,182.7
DeAndre HopkinsWR - HOUView Videos,KC,16,-,-,-,-,-,1329,8,-,-,-,180.9
Amari CooperWR - OAK,CIN,16,-,-,-,-,-,1075,9,-,-,-,161.5
Jordan MatthewsWR - PHIView Videos,@ATL,16,-,-,-,-,-,1124,7,-,1,-,156.4
Keenan AllenWR - SD,DET,16,-,-,-,-,-,1071,8,-,-,-,155.1
Julian EdelmanWR - NEView News,PIT,16,-,-,-,23,-,977,7,-,-,-,142
Jeremy MaclinWR - KCView Videos,@HOU,16,-,-,-,-,-,1046,6,-,-,-,140.6
Andre JohnsonWR - IND,@BUF,16,-,-,-,-,-,903,8,-,1,-,140.3
DeSean JacksonWR - WAS,MIA,16,-,-,-,27,-,995,6,-,-,-,138.2
Sammy WatkinsWR - BUFView NewsView Videos,IND,16,-,-,-,32,-,951,6,-,-,-,134.3
Brandon MarshallWR - NYJView Videos,CLE,16,-,-,-,-,-,850,7,-,1,-,129
Kevin WhiteWR - CHI,GB,16,-,-,-,-,-,891,6,-,-,-,125.1
Antonio BrownWR - PIT,@NE,16,-,-,-,22,1,1580,10,-,-,-,226.2
Demaryius ThomasWR - DENView Videos,BAL,16,-,-,-,-,-,1484,12,-,1,-,222.4
Julio JonesWR - ATLView Videos,PHI,16,-,-,-,12,-,1545,11,-,-,-,221.7
Calvin JohnsonWR - DETView Videos,@SD,15,-,-,-,-,-,1460,12,-,-,-,218
Dez BryantWR - DAL,NYG,16,-,-,-,-,-,1436,12,-,-,-,215.6
Odell BeckhamWR - NYGView Videos,@DAL,16,-,-,-,63,-,1385,11,-,-,-,210.8
Jordy NelsonWR - GB,@CHI,16,-,-,-,-,-,1490,10,-,-,-,209
A.J. GreenWR - CIN,@OAK,16,-,-,-,17,-,1402,10,-,1,-,203.9
Alshon JefferyWR - CHIView News,GB,16,-,-,-,33,-,1377,10,-,-,-,201
Randall CobbWR - GB,@CHI,16,-,-,-,96,1,1277,9,-,-,-,197.3
Mike EvansWR - TB,TEN,16,-,-,-,-,-,1405,9,-,1,-,196.5
Emmanuel SandersWR - DENView Videos,BAL,16,-,-,-,37,-,1420,7,-,-,-,187.7
T.Y. HiltonWR - INDView Videos,@BUF,16,-,-,-,39,-,1351,8,-,-,-,187
Brandin CooksWR - NO,@ARI,16,-,-,-,149,-,1198,8,-,-,-,182.7
DeAndre HopkinsWR - HOUView Videos,KC,16,-,-,-,-,-,1329,8,-,-,-,180.9
Amari CooperWR - OAK,CIN,16,-,-,-,-,-,1075,9,-,-,-,161.5
Jordan MatthewsWR - PHIView Videos,@ATL,16,-,-,-,-,-,1124,7,-,1,-,156.4
Keenan AllenWR - SD,DET,16,-,-,-,-,-,1071,8,-,-,-,155.1
Julian EdelmanWR - NEView News,PIT,16,-,-,-,23,-,977,7,-,-,-,142
Jeremy MaclinWR - KCView Videos,@HOU,16,-,-,-,-,-,1046,6,-,-,-,140.6
